Emoji,Unicode,Bytes,Description
🍷,U+1F377,\xF0\x9F\x8D\xB7,WINE GLASS
🍸,U+1F378,\xF0\x9F\x8D\xB8,COCKTAIL GLASS
🍹,U+1F379,\xF0\x9F\x8D\xB9,TROPICAL DRINK
🍺,U+1F37A,\xF0\x9F\x8D\xBA,BEER MUG
🍻,U+1F37B,\xF0\x9F\x8D\xBB,CLINKING BEER MUGS
🎀,U+1F380,\xF0\x9F\x8E\x80,RIBBON
🎁,U+1F381,\xF0\x9F\x8E\x81,WRAPPED PRESENT
🎂,U+1F382,\xF0\x9F\x8E\x82,BIRTHDAY CAKE
🎃,U+1F383,\xF0\x9F\x8E\x83,JACK-O-LANTERN
🎄,U+1F384,\xF0\x9F\x8E\x84,CHRISTMAS TREE
🎅,U+1F385,\xF0\x9F\x8E\x85,FATHER CHRISTMAS
🎆,U+1F386,\xF0\x9F\x8E\x86,FIREWORKS
🎇,U+1F387,\xF0\x9F\x8E\x87,FIREWORK SPARKLER
🎈,U+1F388,\xF0\x9F\x8E\x88,BALLOON
🎉,U+1F389,\xF0\x9F\x8E\x89,PARTY POPPER
🎊,U+1F38A,\xF0\x9F\x8E\x8A,CONFETTI BALL
🎋,U+1F38B,\xF0\x9F\x8E\x8B,TANABATA TREE
🎌,U+1F38C,\xF0\x9F\x8E\x8C,CROSSED FLAGS
🎍,U+1F38D,\xF0\x9F\x8E\x8D,PINE DECORATION
🎎,U+1F38E,\xF0\x9F\x8E\x8E,JAPANESE DOLLS
🎏,U+1F38F,\xF0\x9F\x8E\x8F,CARP STREAMER
🎐,U+1F390,\xF0\x9F\x8E\x90,WIND CHIME
🎑,U+1F391,\xF0\x9F\x8E\x91,MOON VIEWING CEREMONY
🎒,U+1F392,\xF0\x9F\x8E\x92,SCHOOL SATCHEL
🎓,U+1F393,\xF0\x9F\x8E\x93,GRADUATION CAP
🎠,U+1F3A0,\xF0\x9F\x8E\xA0,CAROUSEL HORSE
🎡,U+1F3A1,\xF0\x9F\x8E\xA1,FERRIS WHEEL
🎢,U+1F3A2,\xF0\x9F\x8E\xA2,ROLLER COASTER
🎣,U+1F3A3,\xF0\x9F\x8E\xA3,FISHING POLE AND FISH
🎤,U+1F3A4,\xF0\x9F\x8E\xA4,MICROPHONE
🎥,U+1F3A5,\xF0\x9F\x8E\xA5,MOVIE CAMERA
🎦,U+1F3A6,\xF0\x9F\x8E\xA6,CINEMA
🎧,U+1F3A7,\xF0\x9F\x8E\xA7,HEADPHONE
🎨,U+1F3A8,\xF0\x9F\x8E\xA8,ARTIST PALETTE
🎩,U+1F3A9,\xF0\x9F\x8E\xA9,TOP HAT
🎪,U+1F3AA,\xF0\x9F\x8E\xAA,CIRCUS TENT
🎫,U+1F3AB,\xF0\x9F\x8E\xAB,TICKET
🎬,U+1F3AC,\xF0\x9F\x8E\xAC,CLAPPER BOARD
🎭,U+1F3AD,\xF0\x9F\x8E\xAD,PERFORMING ARTS
🎮,U+1F3AE,\xF0\x9F\x8E\xAE,VIDEO GAME
🎯,U+1F3AF,\xF0\x9F\x8E\xAF,DIRECT HIT
🎰,U+1F3B0,\xF0\x9F\x8E\xB0,SLOT MACHINE
🎱,U+1F3B1,\xF0\x9F\x8E\xB1,BILLIARDS
🎲,U+1F3B2,\xF0\x9F\x8E\xB2,GAME DIE
🎳,U+1F3B3,\xF0\x9F\x8E\xB3,BOWLING
🎴,U+1F3B4,\xF0\x9F\x8E\xB4,FLOWER PLAYING CARDS
🎵,U+1F3B5,\xF0\x9F\x8E\xB5,MUSICAL NOTE
🎶,U+1F3B6,\xF0\x9F\x8E\xB6,MULTIPLE MUSICAL NOTES
🎷,U+1F3B7,\xF0\x9F\x8E\xB7,SAXOPHONE
🎸,U+1F3B8,\xF0\x9F\x8E\xB8,GUITAR
🎹,U+1F3B9,\xF0\x9F\x8E\xB9,MUSICAL KEYBOARD
🎺,U+1F3BA,\xF0\x9F\x8E\xBA,TRUMPET
🎻,U+1F3BB,\xF0\x9F\x8E\xBB,VIOLIN
🎼,U+1F3BC,\xF0\x9F\x8E\xBC,MUSICAL SCORE
🎽,U+1F3BD,\xF0\x9F\x8E\xBD,RUNNING SHIRT WITH SASH
🎾,U+1F3BE,\xF0\x9F\x8E\xBE,TENNIS RACQUET AND BALL
🎿,U+1F3BF,\xF0\x9F\x8E\xBF,SKI AND SKI BOOT
🏀,U+1F3C0,\xF0\x9F\x8F\x80,BASKETBALL AND HOOP
🏁,U+1F3C1,\xF0\x9F\x8F\x81,CHEQUERED FLAG
🏂,U+1F3C2,\xF0\x9F\x8F\x82,SNOWBOARDER
🏃,U+1F3C3,\xF0\x9F\x8F\x83,RUNNER
🏄,U+1F3C4,\xF0\x9F\x8F\x84,SURFER
🏆,U+1F3C6,\xF0\x9F\x8F\x86,TROPHY
🏈,U+1F3C8,\xF0\x9F\x8F\x88,AMERICAN FOOTBALL
🏊,U+1F3CA,\xF0\x9F\x8F\x8A,SWIMMER
🏠,U+1F3E0,\xF0\x9F\x8F\xA0,HOUSE BUILDING
🏡,U+1F3E1,\xF0\x9F\x8F\xA1,HOUSE WITH GARDEN
🏢,U+1F3E2,\xF0\x9F\x8F\xA2,OFFICE BUILDING
🏣,U+1F3E3,\xF0\x9F\x8F\xA3,JAPANESE POST OFFICE
🏥,U+1F3E5,\xF0\x9F\x8F\xA5,HOSPITAL
🏦,U+1F3E6,\xF0\x9F\x8F\xA6,BANK
🏧,U+1F3E7,\xF0\x9F\x8F\xA7,AUTOMATED TELLER MACHINE
🏨,U+1F3E8,\xF0\x9F\x8F\xA8,HOTEL
🏩,U+1F3E9,\xF0\x9F\x8F\xA9,LOVE HOTEL
🏪,U+1F3EA,\xF0\x9F\x8F\xAA,CONVENIENCE STORE
🏫,U+1F3EB,\xF0\x9F\x8F\xAB,SCHOOL
🏬,U+1F3EC,\xF0\x9F\x8F\xAC,DEPARTMENT STORE
🏭,U+1F3ED,\xF0\x9F\x8F\xAD,FACTORY
🏮,U+1F3EE,\xF0\x9F\x8F\xAE,IZAKAYA LANTERN
🏯,U+1F3EF,\xF0\x9F\x8F\xAF,JAPANESE CASTLE
🏰,U+1F3F0,\xF0\x9F\x8F\xB0,EUROPEAN CASTLE
🐌,U+1F40C,\xF0\x9F\x90\x8C,SNAIL
🐍,U+1F40D,\xF0\x9F\x90\x8D,SNAKE
🐎,U+1F40E,\xF0\x9F\x90\x8E,HORSE
🐑,U+1F411,\xF0\x9F\x90\x91,SHEEP
🐒,U+1F412,\xF0\x9F\x90\x92,MONKEY
🐔,U+1F414,\xF0\x9F\x90\x94,CHICKEN
🐗,U+1F417,\xF0\x9F\x90\x97,BOAR
🐘,U+1F418,\xF0\x9F\x90\x98,ELEPHANT
🐙,U+1F419,\xF0\x9F\x90\x99,OCTOPUS
🐚,U+1F41A,\xF0\x9F\x90\x9A,SPIRAL SHELL
🐛,U+1F41B,\xF0\x9F\x90\x9B,BUG
🐜,U+1F41C,\xF0\x9F\x90\x9C,ANT
🐝,U+1F41D,\xF0\x9F\x90\x9D,HONEYBEE
🐞,U+1F41E,\xF0\x9F\x90\x9E,LADY BEETLE
🐟,U+1F41F,\xF0\x9F\x90\x9F,FISH
🐠,U+1F420,\xF0\x9F\x90\xA0,TROPICAL FISH
🐡,U+1F421,\xF0\x9F\x90\xA1,BLOWFISH
🐢,U+1F422,\xF0\x9F\x90\xA2,TURTLE
🐣,U+1F423,\xF0\x9F\x90\xA3,HATCHING CHICK
🐤,U+1F424,\xF0\x9F\x90\xA4,BABY CHICK
🐥,U+1F425,\xF0\x9F\x90\xA5,FRONT-FACING BABY CHICK
🐦,U+1F426,\xF0\x9F\x90\xA6,BIRD
🐧,U+1F427,\xF0\x9F\x90\xA7,PENGUIN
🐨,U+1F428,\xF0\x9F\x90\xA8,KOALA
🐩,U+1F429,\xF0\x9F\x90\xA9,POODLE
🐫,U+1F42B,\xF0\x9F\x90\xAB,BACTRIAN CAMEL
🐬,U+1F42C,\xF0\x9F\x90\xAC,DOLPHIN
🐭,U+1F42D,\xF0\x9F\x90\xAD,MOUSE FACE
🐮,U+1F42E,\xF0\x9F\x90\xAE,COW FACE
🐯,U+1F42F,\xF0\x9F\x90\xAF,TIGER FACE
🐰,U+1F430,\xF0\x9F\x90\xB0,RABBIT FACE
🐱,U+1F431,\xF0\x9F\x90\xB1,CAT FACE
🐲,U+1F432,\xF0\x9F\x90\xB2,DRAGON FACE
🐳,U+1F433,\xF0\x9F\x90\xB3,SPOUTING WHALE
🐴,U+1F434,\xF0\x9F\x90\xB4,HORSE FACE
🐵,U+1F435,\xF0\x9F\x90\xB5,MONKEY FACE
🐶,U+1F436,\xF0\x9F\x90\xB6,DOG FACE
🐷,U+1F437,\xF0\x9F\x90\xB7,PIG FACE
🐸,U+1F438,\xF0\x9F\x90\xB8,FROG FACE
🐹,U+1F439,\xF0\x9F\x90\xB9,HAMSTER FACE
🐺,U+1F43A,\xF0\x9F\x90\xBA,WOLF FACE
🐻,U+1F43B,\xF0\x9F\x90\xBB,BEAR FACE
🐼,U+1F43C,\xF0\x9F\x90\xBC,PANDA FACE
🐽,U+1F43D,\xF0\x9F\x90\xBD,PIG NOSE
🐾,U+1F43E,\xF0\x9F\x90\xBE,PAW PRINTS
👀,U+1F440,\xF0\x9F\x91\x80,EYES
👂,U+1F442,\xF0\x9F\x91\x82,EAR
👃,U+1F443,\xF0\x9F\x91\x83,NOSE
👄,U+1F444,\xF0\x9F\x91\x84,MOUTH
👅,U+1F445,\xF0\x9F\x91\x85,TONGUE
👆,U+1F446,\xF0\x9F\x91\x86,WHITE UP POINTING BACKHAND INDEX
👇,U+1F447,\xF0\x9F\x91\x87,WHITE DOWN POINTING BACKHAND INDEX
👈,U+1F448,\xF0\x9F\x91\x88,WHITE LEFT POINTING BACKHAND INDEX
👉,U+1F449,\xF0\x9F\x91\x89,WHITE RIGHT POINTING BACKHAND INDEX
👊,U+1F44A,\xF0\x9F\x91\x8A,FISTED HAND SIGN
👋,U+1F44B,\xF0\x9F\x91\x8B,WAVING HAND SIGN
👌,U+1F44C,\xF0\x9F\x91\x8C,OK HAND SIGN
👍,U+1F44D,\xF0\x9F\x91\x8D,THUMBS UP SIGN
👎,U+1F44E,\xF0\x9F\x91\x8E,THUMBS DOWN SIGN
👏,U+1F44F,\xF0\x9F\x91\x8F,CLAPPING HANDS SIGN
👐,U+1F450,\xF0\x9F\x91\x90,OPEN HANDS SIGN
👑,U+1F451,\xF0\x9F\x91\x91,CROWN
👒,U+1F452,\xF0\x9F\x91\x92,WOMANS HAT
👓,U+1F453,\xF0\x9F\x91\x93,EYEGLASSES
👔,U+1F454,\xF0\x9F\x91\x94,NECKTIE
👕,U+1F455,\xF0\x9F\x91\x95,T-SHIRT
👖,U+1F456,\xF0\x9F\x91\x96,JEANS
👗,U+1F457,\xF0\x9F\x91\x97,DRESS
👘,U+1F458,\xF0\x9F\x91\x98,KIMONO
👙,U+1F459,\xF0\x9F\x91\x99,BIKINI
👚,U+1F45A,\xF0\x9F\x91\x9A,WOMANS CLOTHES
👛,U+1F45B,\xF0\x9F\x91\x9B,PURSE
👜,U+1F45C,\xF0\x9F\x91\x9C,HANDBAG
👝,U+1F45D,\xF0\x9F\x91\x9D,POUCH
👞,U+1F45E,\xF0\x9F\x91\x9E,MANS SHOE
👟,U+1F45F,\xF0\x9F\x91\x9F,ATHLETIC SHOE
👠,U+1F460,\xF0\x9F\x91\xA0,HIGH-HEELED SHOE
👡,U+1F461,\xF0\x9F\x91\xA1,WOMANS SANDAL
👢,U+1F462,\xF0\x9F\x91\xA2,WOMANS BOOTS
👣,U+1F463,\xF0\x9F\x91\xA3,FOOTPRINTS
👤,U+1F464,\xF0\x9F\x91\xA4,BUST IN SILHOUETTE
👦,U+1F466,\xF0\x9F\x91\xA6,BOY
👧,U+1F467,\xF0\x9F\x91\xA7,GIRL
👨,U+1F468,\xF0\x9F\x91\xA8,MAN
👩,U+1F469,\xF0\x9F\x91\xA9,WOMAN
👪,U+1F46A,\xF0\x9F\x91\xAA,FAMILY
👫,U+1F46B,\xF0\x9F\x91\xAB,MAN AND WOMAN HOLDING HANDS
👮,U+1F46E,\xF0\x9F\x91\xAE,POLICE OFFICER
👯,U+1F46F,\xF0\x9F\x91\xAF,WOMAN WITH BUNNY EARS
👰,U+1F470,\xF0\x9F\x91\xB0,BRIDE WITH VEIL
👱,U+1F471,\xF0\x9F\x91\xB1,PERSON WITH BLOND HAIR
👲,U+1F472,\xF0\x9F\x91\xB2,MAN WITH GUA PI MAO
👳,U+1F473,\xF0\x9F\x91\xB3,MAN WITH TURBAN
👴,U+1F474,\xF0\x9F\x91\xB4,OLDER MAN
👵,U+1F475,\xF0\x9F\x91\xB5,OLDER WOMAN
👶,U+1F476,\xF0\x9F\x91\xB6,BABY
👷,U+1F477,\xF0\x9F\x91\xB7,CONSTRUCTION WORKER
👸,U+1F478,\xF0\x9F\x91\xB8,PRINCESS
👹,U+1F479,\xF0\x9F\x91\xB9,JAPANESE OGRE
👺,U+1F47A,\xF0\x9F\x91\xBA,JAPANESE GOBLIN
👻,U+1F47B,\xF0\x9F\x91\xBB,GHOST
👼,U+1F47C,\xF0\x9F\x91\xBC,BABY ANGEL
👽,U+1F47D,\xF0\x9F\x91\xBD,EXTRATERRESTRIAL ALIEN
👾,U+1F47E,\xF0\x9F\x91\xBE,ALIEN MONSTER
👿,U+1F47F,\xF0\x9F\x91\xBF,IMP
💀,U+1F480,\xF0\x9F\x92\x80,SKULL
💁,U+1F481,\xF0\x9F\x92\x81,INFORMATION DESK PERSON
💂,U+1F482,\xF0\x9F\x92\x82,GUARDSMAN
💃,U+1F483,\xF0\x9F\x92\x83,DANCER
💄,U+1F484,\xF0\x9F\x92\x84,LIPSTICK
💅,U+1F485,\xF0\x9F\x92\x85,NAIL POLISH
💆,U+1F486,\xF0\x9F\x92\x86,FACE MASSAGE
💇,U+1F487,\xF0\x9F\x92\x87,HAIRCUT
💈,U+1F488,\xF0\x9F\x92\x88,BARBER POLE
💉,U+1F489,\xF0\x9F\x92\x89,SYRINGE
💊,U+1F48A,\xF0\x9F\x92\x8A,PILL
💋,U+1F48B,\xF0\x9F\x92\x8B,KISS MARK
💌,U+1F48C,\xF0\x9F\x92\x8C,LOVE LETTER
💍,U+1F48D,\xF0\x9F\x92\x8D,RING
💎,U+1F48E,\xF0\x9F\x92\x8E,GEM STONE
💏,U+1F48F,\xF0\x9F\x92\x8F,KISS
💐,U+1F490,\xF0\x9F\x92\x90,BOUQUET
💑,U+1F491,\xF0\x9F\x92\x91,COUPLE WITH HEART
💒,U+1F492,\xF0\x9F\x92\x92,WEDDING
💓,U+1F493,\xF0\x9F\x92\x93,BEATING HEART
💔,U+1F494,\xF0\x9F\x92\x94,BROKEN HEART
💕,U+1F495,\xF0\x9F\x92\x95,TWO HEARTS
💖,U+1F496,\xF0\x9F\x92\x96,SPARKLING HEART
💗,U+1F497,\xF0\x9F\x92\x97,GROWING HEART
💘,U+1F498,\xF0\x9F\x92\x98,HEART WITH ARROW
💙,U+1F499,\xF0\x9F\x92\x99,BLUE HEART
💚,U+1F49A,\xF0\x9F\x92\x9A,GREEN HEART
💛,U+1F49B,\xF0\x9F\x92\x9B,YELLOW HEART
💜,U+1F49C,\xF0\x9F\x92\x9C,PURPLE HEART
💝,U+1F49D,\xF0\x9F\x92\x9D,HEART WITH RIBBON
💞,U+1F49E,\xF0\x9F\x92\x9E,REVOLVING HEARTS
💟,U+1F49F,\xF0\x9F\x92\x9F,HEART DECORATION
💠,U+1F4A0,\xF0\x9F\x92\xA0,DIAMOND SHAPE WITH A DOT INSIDE
💡,U+1F4A1,\xF0\x9F\x92\xA1,ELECTRIC LIGHT BULB
💢,U+1F4A2,\xF0\x9F\x92\xA2,ANGER SYMBOL
💣,U+1F4A3,\xF0\x9F\x92\xA3,BOMB
💤,U+1F4A4,\xF0\x9F\x92\xA4,SLEEPING SYMBOL
💥,U+1F4A5,\xF0\x9F\x92\xA5,COLLISION SYMBOL
💦,U+1F4A6,\xF0\x9F\x92\xA6,SPLASHING SWEAT SYMBOL
💧,U+1F4A7,\xF0\x9F\x92\xA7,DROPLET
💨,U+1F4A8,\xF0\x9F\x92\xA8,DASH SYMBOL
💩,U+1F4A9,\xF0\x9F\x92\xA9,PILE OF POO
💪,U+1F4AA,\xF0\x9F\x92\xAA,FLEXED BICEPS
💫,U+1F4AB,\xF0\x9F\x92\xAB,DIZZY SYMBOL
💬,U+1F4AC,\xF0\x9F\x92\xAC,SPEECH BALLOON
💮,U+1F4AE,\xF0\x9F\x92\xAE,WHITE FLOWER
💯,U+1F4AF,\xF0\x9F\x92\xAF,HUNDRED POINTS SYMBOL
💰,U+1F4B0,\xF0\x9F\x92\xB0,MONEY BAG
💱,U+1F4B1,\xF0\x9F\x92\xB1,CURRENCY EXCHANGE
💲,U+1F4B2,\xF0\x9F\x92\xB2,HEAVY DOLLAR SIGN
💳,U+1F4B3,\xF0\x9F\x92\xB3,CREDIT CARD
💴,U+1F4B4,\xF0\x9F\x92\xB4,BANKNOTE WITH YEN SIGN
💵,U+1F4B5,\xF0\x9F\x92\xB5,BANKNOTE WITH DOLLAR SIGN
💸,U+1F4B8,\xF0\x9F\x92\xB8,MONEY WITH WINGS
💹,U+1F4B9,\xF0\x9F\x92\xB9,CHART WITH UPWARDS TREND AND YEN SIGN
💺,U+1F4BA,\xF0\x9F\x92\xBA,SEAT
💻,U+1F4BB,\xF0\x9F\x92\xBB,PERSONAL COMPUTER
💼,U+1F4BC,\xF0\x9F\x92\xBC,BRIEFCASE
💽,U+1F4BD,\xF0\x9F\x92\xBD,MINIDISC
💾,U+1F4BE,\xF0\x9F\x92\xBE,FLOPPY DISK
💿,U+1F4BF,\xF0\x9F\x92\xBF,OPTICAL DISC
📀,U+1F4C0,\xF0\x9F\x93\x80,DVD
📁,U+1F4C1,\xF0\x9F\x93\x81,FILE FOLDER
📂,U+1F4C2,\xF0\x9F\x93\x82,OPEN FILE FOLDER
📃,U+1F4C3,\xF0\x9F\x93\x83,PAGE WITH CURL
📄,U+1F4C4,\xF0\x9F\x93\x84,PAGE FACING UP
📅,U+1F4C5,\xF0\x9F\x93\x85,CALENDAR
📆,U+1F4C6,\xF0\x9F\x93\x86,TEAR-OFF CALENDAR
📇,U+1F4C7,\xF0\x9F\x93\x87,CARD INDEX
📈,U+1F4C8,\xF0\x9F\x93\x88,CHART WITH UPWARDS TREND
📉,U+1F4C9,\xF0\x9F\x93\x89,CHART WITH DOWNWARDS TREND
📊,U+1F4CA,\xF0\x9F\x93\x8A,BAR CHART
📋,U+1F4CB,\xF0\x9F\x93\x8B,CLIPBOARD
📌,U+1F4CC,\xF0\x9F\x93\x8C,PUSHPIN
📍,U+1F4CD,\xF0\x9F\x93\x8D,ROUND PUSHPIN
📎,U+1F4CE,\xF0\x9F\x93\x8E,PAPERCLIP
📏,U+1F4CF,\xF0\x9F\x93\x8F,STRAIGHT RULER
📐,U+1F4D0,\xF0\x9F\x93\x90,TRIANGULAR RULER
📑,U+1F4D1,\xF0\x9F\x93\x91,BOOKMARK TABS
📒,U+1F4D2,\xF0\x9F\x93\x92,LEDGER
📓,U+1F4D3,\xF0\x9F\x93\x93,NOTEBOOK
📔,U+1F4D4,\xF0\x9F\x93\x94,NOTEBOOK WITH DECORATIVE COVER
📕,U+1F4D5,\xF0\x9F\x93\x95,CLOSED BOOK
📖,U+1F4D6,\xF0\x9F\x93\x96,OPEN BOOK
📗,U+1F4D7,\xF0\x9F\x93\x97,GREEN BOOK
📘,U+1F4D8,\xF0\x9F\x93\x98,BLUE BOOK
📙,U+1F4D9,\xF0\x9F\x93\x99,ORANGE BOOK
📚,U+1F4DA,\xF0\x9F\x93\x9A,BOOKS
📛,U+1F4DB,\xF0\x9F\x93\x9B,NAME BADGE
📜,U+1F4DC,\xF0\x9F\x93\x9C,SCROLL
📝,U+1F4DD,\xF0\x9F\x93\x9D,MEMO
📞,U+1F4DE,\xF0\x9F\x93\x9E,TELEPHONE RECEIVER
📟,U+1F4DF,\xF0\x9F\x93\x9F,PAGER
📠,U+1F4E0,\xF0\x9F\x93\xA0,FAX MACHINE
📡,U+1F4E1,\xF0\x9F\x93\xA1,SATELLITE ANTENNA
📢,U+1F4E2,\xF0\x9F\x93\xA2,PUBLIC ADDRESS LOUDSPEAKER
📣,U+1F4E3,\xF0\x9F\x93\xA3,CHEERING MEGAPHONE
📤,U+1F4E4,\xF0\x9F\x93\xA4,OUTBOX TRAY
📥,U+1F4E5,\xF0\x9F\x93\xA5,INBOX TRAY
📦,U+1F4E6,\xF0\x9F\x93\xA6,PACKAGE
📧,U+1F4E7,\xF0\x9F\x93\xA7,E-MAIL SYMBOL
📨,U+1F4E8,\xF0\x9F\x93\xA8,INCOMING ENVELOPE
📩,U+1F4E9,\xF0\x9F\x93\xA9,ENVELOPE WITH DOWNWARDS ARROW ABOVE
📪,U+1F4EA,\xF0\x9F\x93\xAA,CLOSED MAILBOX WITH LOWERED FLAG
📫,U+1F4EB,\xF0\x9F\x93\xAB,CLOSED MAILBOX WITH RAISED FLAG
📮,U+1F4EE,\xF0\x9F\x93\xAE,POSTBOX
📰,U+1F4F0,\xF0\x9F\x93\xB0,NEWSPAPER
📱,U+1F4F1,\xF0\x9F\x93\xB1,MOBILE PHONE
📲,U+1F4F2,\xF0\x9F\x93\xB2,MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT
📳,U+1F4F3,\xF0\x9F\x93\xB3,VIBRATION MODE
📴,U+1F4F4,\xF0\x9F\x93\xB4,MOBILE PHONE OFF
📶,U+1F4F6,\xF0\x9F\x93\xB6,ANTENNA WITH BARS
📷,U+1F4F7,\xF0\x9F\x93\xB7,CAMERA
📹,U+1F4F9,\xF0\x9F\x93\xB9,VIDEO CAMERA
📺,U+1F4FA,\xF0\x9F\x93\xBA,TELEVISION
📻,U+1F4FB,\xF0\x9F\x93\xBB,RADIO
📼,U+1F4FC,\xF0\x9F\x93\xBC,VIDEOCASSETTE
🔃,U+1F503,\xF0\x9F\x94\x83,CLOCKWISE DOWNWARDS AND UPWARDS OPEN CIRCLE ARROWS
🔊,U+1F50A,\xF0\x9F\x94\x8A,SPEAKER WITH THREE SOUND WAVES
🔋,U+1F50B,\xF0\x9F\x94\x8B,BATTERY
🔌,U+1F50C,\xF0\x9F\x94\x8C,ELECTRIC PLUG
🔍,U+1F50D,\xF0\x9F\x94\x8D,LEFT-POINTING MAGNIFYING GLASS
🔎,U+1F50E,\xF0\x9F\x94\x8E,RIGHT-POINTING MAGNIFYING GLASS
🔏,U+1F50F,\xF0\x9F\x94\x8F,LOCK WITH INK PEN
🔐,U+1F510,\xF0\x9F\x94\x90,CLOSED LOCK WITH KEY
🔑,U+1F511,\xF0\x9F\x94\x91,KEY
🔒,U+1F512,\xF0\x9F\x94\x92,LOCK
🔓,U+1F513,\xF0\x9F\x94\x93,OPEN LOCK
🔔,U+1F514,\xF0\x9F\x94\x94,BELL
🔖,U+1F516,\xF0\x9F\x94\x96,BOOKMARK
🔗,U+1F517,\xF0\x9F\x94\x97,LINK SYMBOL
🔘,U+1F518,\xF0\x9F\x94\x98,RADIO BUTTON
🔙,U+1F519,\xF0\x9F\x94\x99,BACK WITH LEFTWARDS ARROW ABOVE
🔚,U+1F51A,\xF0\x9F\x94\x9A,END WITH LEFTWARDS ARROW ABOVE
🔛,U+1F51B,\xF0\x9F\x94\x9B,ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE
🔜,U+1F51C,\xF0\x9F\x94\x9C,SOON WITH RIGHTWARDS ARROW ABOVE
🔝,U+1F51D,\xF0\x9F\x94\x9D,TOP WITH UPWARDS ARROW ABOVE
🔞,U+1F51E,\xF0\x9F\x94\x9E,NO ONE UNDER EIGHTEEN SYMBOL
🔟,U+1F51F,\xF0\x9F\x94\x9F,KEYCAP TEN
🔠,U+1F520,\xF0\x9F\x94\xA0,INPUT SYMBOL FOR LATIN CAPITAL LETTERS
🔡,U+1F521,\xF0\x9F\x94\xA1,INPUT SYMBOL FOR LATIN SMALL LETTERS
🔢,U+1F522,\xF0\x9F\x94\xA2,INPUT SYMBOL FOR NUMBERS
🔣,U+1F523,\xF0\x9F\x94\xA3,INPUT SYMBOL FOR SYMBOLS
🔤,U+1F524,\xF0\x9F\x94\xA4,INPUT SYMBOL FOR LATIN LETTERS
🔥,U+1F525,\xF0\x9F\x94\xA5,FIRE
🔦,U+1F526,\xF0\x9F\x94\xA6,ELECTRIC TORCH
🔧,U+1F527,\xF0\x9F\x94\xA7,WRENCH
🔨,U+1F528,\xF0\x9F\x94\xA8,HAMMER
🔩,U+1F529,\xF0\x9F\x94\xA9,NUT AND BOLT
🔪,U+1F52A,\xF0\x9F\x94\xAA,HOCHO
🔫,U+1F52B,\xF0\x9F\x94\xAB,PISTOL
🔮,U+1F52E,\xF0\x9F\x94\xAE,CRYSTAL BALL
🔯,U+1F52F,\xF0\x9F\x94\xAF,SIX POINTED STAR WITH MIDDLE DOT
🔰,U+1F530,\xF0\x9F\x94\xB0,JAPANESE SYMBOL FOR BEGINNER
🔱,U+1F531,\xF0\x9F\x94\xB1,TRIDENT EMBLEM
🔲,U+1F532,\xF0\x9F\x94\xB2,BLACK SQUARE BUTTON
🔳,U+1F533,\xF0\x9F\x94\xB3,WHITE SQUARE BUTTON
🔴,U+1F534,\xF0\x9F\x94\xB4,LARGE RED CIRCLE
🔵,U+1F535,\xF0\x9F\x94\xB5,LARGE BLUE CIRCLE
🔶,U+1F536,\xF0\x9F\x94\xB6,LARGE ORANGE DIAMOND
🔷,U+1F537,\xF0\x9F\x94\xB7,LARGE BLUE DIAMOND
🔸,U+1F538,\xF0\x9F\x94\xB8,SMALL ORANGE DIAMOND
🔹,U+1F539,\xF0\x9F\x94\xB9,SMALL BLUE DIAMOND
🔺,U+1F53A,\xF0\x9F\x94\xBA,UP-POINTING RED TRIANGLE
🔻,U+1F53B,\xF0\x9F\x94\xBB,DOWN-POINTING RED TRIANGLE
🔼,U+1F53C,\xF0\x9F\x94\xBC,UP-POINTING SMALL RED TRIANGLE
🔽,U+1F53D,\xF0\x9F\x94\xBD,DOWN-POINTING SMALL RED TRIANGLE
🕐,U+1F550,\xF0\x9F\x95\x90,CLOCK FACE ONE OCLOCK
🕑,U+1F551,\xF0\x9F\x95\x91,CLOCK FACE TWO OCLOCK
🕒,U+1F552,\xF0\x9F\x95\x92,CLOCK FACE THREE OCLOCK
🕓,U+1F553,\xF0\x9F\x95\x93,CLOCK FACE FOUR OCLOCK
🕔,U+1F554,\xF0\x9F\x95\x94,CLOCK FACE FIVE OCLOCK
🕕,U+1F555,\xF0\x9F\x95\x95,CLOCK FACE SIX OCLOCK
🕖,U+1F556,\xF0\x9F\x95\x96,CLOCK FACE SEVEN OCLOCK
🕗,U+1F557,\xF0\x9F\x95\x97,CLOCK FACE EIGHT OCLOCK
🕘,U+1F558,\xF0\x9F\x95\x98,CLOCK FACE NINE OCLOCK
🕙,U+1F559,\xF0\x9F\x95\x99,CLOCK FACE TEN OCLOCK
🕚,U+1F55A,\xF0\x9F\x95\x9A,CLOCK FACE ELEVEN OCLOCK
🕛,U+1F55B,\xF0\x9F\x95\x9B,CLOCK FACE TWELVE OCLOCK
🗻,U+1F5FB,\xF0\x9F\x97\xBB,MOUNT FUJI
🗼,U+1F5FC,\xF0\x9F\x97\xBC,TOKYO TOWER
🗽,U+1F5FD,\xF0\x9F\x97\xBD,STATUE OF LIBERTY
🗾,U+1F5FE,\xF0\x9F\x97\xBE,SILHOUETTE OF JAPAN
🗿,U+1F5FF,\xF0\x9F\x97\xBF,MOYAI
😀,U+1F600,\xF0\x9F\x98\x80,GRINNING FACE
